First Name,Last Name,Specific Disease SVS (dRWPS),Total Relevant Publications,Most Recent Publication Date,Matching MeSH Topics,Broad Area SVS (tRWPS)
Rohit,Aggarwal,100.0,2,2026-02-01 00:00:00.000000000,Humans,100.0
Qing,Li,100.0,2,2026-04-01 00:00:00.000000000,Humans,100.0
Giampiero,Patrizi,100.0,2,2026-03-01 00:00:00.000000000,Humans,100.0
Cysticercosis,Working Group in Peru (CWGP),55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Javier,A Bustos,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Georg,Martin Stettner,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Veronika,Waldboth,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Youn-Hee,Choi,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Yong-Jin,Lee,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
José,A Luchsinger,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Muge,Akinci,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Xingquan,Zhao,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Yijun,Lin,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Yuan,Wu,55.56,1,2026-01-01 00:00:00.000000000,Humans,55.56
Ruike,Zhang,55.56,1,2026-01-01 00:00:00.000000000,Humans,55.56
JK-FOOT,study group,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Fabian,D Liechti,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Stella,M Davies,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
David,N Krag,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Yaxian,Hong,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Ming,Zhong,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Yi,Yang,55.56,1,2026-02-01 00:00:00.000000000,Humans,100.0
Yanping,Mao,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Naema,Alamawi,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Hasan,Abualruz,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Elaine,C Khoong,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Cristian,Udovicich,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Bobin,Chen,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Chiara,Ciccarese,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Roberto,Iacovelli,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
