First Name,Last Name,Specific Disease SVS (dRWPS),Total Relevant Publications,Most Recent Publication Date,Matching MeSH Topics,Broad Area SVS (tRWPS)
Chao,Chen,100.0,1,2026-12,"Mouth Neoplasms, Lip Neoplasms, Esophageal Neoplasms",25.0
Zhisheng,Teng,100.0,1,2026-12,"Mouth Neoplasms, Lip Neoplasms, Esophageal Neoplasms",25.0
Jiao,Pang,93.33,1,2026-12,"Mouth Neoplasms, Lip Neoplasms, Esophageal Neoplasms",12.5
Hao,Chen,56.67,1,2026-01,"Neoplasms, Bone Neoplasms",25.0
Na,Wang,56.67,1,2026-01,"Neoplasms, Bone Neoplasms",25.0
Xiangkai,Li,50.0,1,2026-01,"Neoplasms, Bone Neoplasms",12.5
Feixue,Song,50.0,1,2026-01,"Neoplasms, Bone Neoplasms",12.5
Yueting,Huang,13.33,1,2026-01,Prostatic Neoplasms,25.0
Tuxiong,Huang,13.33,1,2026-01,Prostatic Neoplasms,25.0
Qilong,Zhai,13.33,1,2026-01,Brain Neoplasms,25.0
Akira,Taguchi,13.33,1,2026-02,Pituitary Neoplasms,25.0
Yanbing,Ding,13.33,1,2026-01,Stomach Neoplasms,25.0
JK-FOOT,study group,13.33,1,2026-02,Kidney Neoplasms,25.0
Takafumi,Yanagisawa,13.33,1,2026-02,Kidney Neoplasms,25.0
Roberto,Iacovelli,13.33,1,2026-02,Kidney Neoplasms,25.0
Chiara,Ciccarese,13.33,1,2026-02,Kidney Neoplasms,25.0
Bobin,Chen,13.33,1,2026-02,Central Nervous System Neoplasms,25.0
Qing,Li,13.33,1,2026-02,Central Nervous System Neoplasms,100.0
Hasan,Abualruz,13.33,1,2026-02,Neoplasms,25.0
Naema,Alamawi,13.33,1,2026-02,Neoplasms,25.0
Paige,D Diamond,13.33,1,2026-02,Triple Negative Breast Neoplasms,25.0
Elizabeth,K Arthur,13.33,1,2026-02,Brain Neoplasms,25.0
Heather,Niccum Haag,13.33,1,2026-02,Brain Neoplasms,25.0
Francesco,Doglietto,13.33,1,2026-02,Pituitary Neoplasms,25.0
Sylvia,Yao Sun,13.33,1,2026-03,Neoplasms,25.0
Mengli,Gao,13.33,1,2026-03,Stomach Neoplasms,25.0
Jing,Ji,13.33,1,2026-03,Stomach Neoplasms,25.0
Mustafa,Ersoy,13.33,1,2026-01,Breast Neoplasms,25.0
Yaxian,Hong,13.33,1,2026-02,Lung Neoplasms,25.0
Ming,Zhong,13.33,1,2026-02,Lung Neoplasms,25.0
Yi,Yang,13.33,1,2026-02,Head and Neck Neoplasms,100.0
Yanping,Mao,13.33,1,2026-02,Head and Neck Neoplasms,25.0
Marco,DiBlasi,13.33,1,2026-02,Vulvar Neoplasms,25.0
David,N Krag,13.33,1,2026-02,Colorectal Neoplasms,25.0
Laura,Susok,13.33,1,2026-02,Skin Neoplasms,25.0
Girja,S Shukla,13.33,1,2026-02,Colorectal Neoplasms,25.0
Hai-Bo,Zhang,13.33,1,2026-02,Ovarian Neoplasms,25.0
Binghao,Chai,13.33,1,2026-03,Soft Tissue Neoplasms,25.0
Cong-Min,Wang,13.33,1,2026-02,Ovarian Neoplasms,25.0
Anthony,P Schuller,13.33,1,2026-02,Triple Negative Breast Neoplasms,25.0
Mojgan,Sheikhpour,13.33,1,2026-02,Lung Neoplasms,25.0
Grace,Folino,13.33,1,2026-02,Vulvar Neoplasms,25.0
Dong,Oh Moon,13.33,1,2026-02,Neoplasms,25.0
Thilo,Gambichler,13.33,1,2026-02,Skin Neoplasms,25.0
Cristian,Udovicich,13.33,1,2026-02,Prostatic Neoplasms,25.0
Andrew,Loblaw,13.33,1,2026-02,Prostatic Neoplasms,25.0
Leila,Alimardanian,13.33,1,2026-02,Lung Neoplasms,25.0
Wei,Qu,13.33,1,2026-02,Thyroid Neoplasms,25.0
